awayTeam,awayScore,homeTeam,homeScore,homeWin
TBL,1,TOR,4,True
OTT,1,WPG,5,True
STL,2,SEA,5,True
ANA,1,LAK,4,True
CGY,7,SJS,3,False
NJD,4,FLA,2,False
TBL,4,DET,7,True
MTL,1,COL,2,True
NSH,4,CHI,2,False
EDM,6,DAL,3,False
ARI,2,VGK,5,True
MIN,4,ANA,1,False
PHI,3,TOR,4,True
CAR,4,PIT,3,False
NYI,3,NYR,5,True
WSH,3,OTT,2,False
WPG,2,BOS,3,True
SEA,5,VAN,6,True
CGY,3,LAK,4,True
MIN,2,SJS,5,True
BOS,4,NJD,3,False
PHI,5,CAR,6,True
WPG,1,WSH,4,True
FLA,1,NYI,5,True
COL,3,NSH,2,False
MTL,2,DAL,4,True
CBJ,2,CHI,5,True
VAN,5,EDM,2,False
LAK,1,ARI,2,True
STL,4,VGK,5,True
CGY,3,ANA,2,False
BOS,2,OTT,3,True
CHI,0,CAR,3,True
WSH,4,NYR,0,False
PIT,1,NYI,5,True
DAL,3,NSH,2,False
MIN,4,WPG,1,False
TOR,5,STL,4,False
COL,3,ARI,6,True
EDM,2,CGY,1,False
SJS,2,VAN,6,True
VGK,2,LAK,4,True
MTL,1,TBL,4,True
BOS,3,NJD,1,False
DET,5,PIT,4,False
CGY,3,SEA,2,False
VGK,2,ANA,3,True
DET,3,BUF,6,True
MTL,2,FLA,7,True
NYR,1,TBL,2,True
OTT,4,WSH,3,False
CBJ,1,NYI,2,True
CHI,1,STL,3,True
DAL,4,MIN,1,False
VAN,2,WPG,4,True
LAK,5,COL,4,False
TOR,3,ARI,6,True
PHI,4,SJS,3,False
NSH,6,ANA,1,False
NJD,4,PIT,2,False
FLA,0,CAR,4,True
EDM,7,SEA,2,False
BUF,4,BOS,3,False
CHI,1,CBJ,4,True
NSH,4,VGK,5,True
MTL,2,WSH,9,True
PHI,4,LAK,2,False
ARI,3,TBL,5,True
MIN,5,STL,2,False
OTT,2,DET,4,True
TOR,6,COL,2,False
SJS,2,DAL,5,True
VAN,2,CGY,3,True
WPG,2,EDM,1,False
CAR,5,NJD,4,False
NYR,5,FLA,3,False
BUF,1,OTT,3,True
SJS,5,CHI,2,False
NYI,1,SEA,4,True
PIT,1,BOS,2,True
VGK,3,COL,2,False
PHI,4,ANA,1,False
ARI,3,FLA,5,True
BUF,5,WSH,4,False
CAR,3,NYR,5,True
CBJ,0,OTT,4,True
STL,6,TOR,5,False
CGY,2,WPG,3,True
MTL,3,NSH,6,True
TBL,4,CHI,1,False
SEA,5,EDM,2,False
NYI,6,VAN,2,False
DAL,2,LAK,3,True
NJD,5,DET,1,False
TBL,1,MIN,5,True
DAL,0,ANA,2,True
ARI,2,PHI,6,True
NYR,4,MTL,1,False
NSH,5,CAR,3,False
SEA,5,TOR,1,False
STL,5,NJD,3,False
WSH,6,CBJ,2,False
NYI,2,EDM,4,True
COL,2,VAN,4,True
PIT,2,VGK,5,True
BOS,5,LAK,2,False
NSH,3,WSH,2,False
FLA,3,DET,2,False
TBL,2,WPG,4,True
ARI,0,CHI,2,True
NYI,1,CGY,4,True
SJS,4,ANA,5,True
NYR,3,NJD,4,True
CAR,3,CBJ,4,True
DET,1,TOR,4,True
MIN,5,BUF,6,True
SEA,8,OTT,4,False
STL,4,MTL,5,True
COL,3,EDM,2,False
LAK,5,VGK,1,False
BOS,4,SJS,2,False
VAN,4,WPG,7,True
FLA,1,DAL,5,True
CBJ,0,WSH,1,True
CGY,3,CHI,4,True
PIT,4,ARI,1,False
STL,3,MIN,0,False
